dataset,label,tier,method,status,stop_reason,iterations,rmse,psnr,ssim,full_image_rmse,full_image_psnr,full_image_ssim,water_background_rmse
nbpslice2d,A,kwave_fullrate,straight_cgls,success,objective_plateau,126,16.03945710221642,15.974671627230412,0.5287587849348573,10.336332736423671,19.79113528969115,0.7772070145005238,1.7886131238898535
nbpslice2d,A,kwave_fullrate,straight_sirt,success,small_model_update,531,15.286053976959826,16.3925571383047,0.5584352719550046,9.81739134343221,20.238542848288887,0.7970458429950404,1.3398923801672453
nbpslice2d,A,kwave_fullrate,straight_sart,success,small_model_update,202,15.320384501641389,16.373071612481972,0.5572159023567711,9.839006730974381,20.219439760770666,0.7971752138837356,1.3375297976142293
nbpslice2d,A,kwave_fullrate,bent_ray_gn,success,max_iterations,20,64.33016983582895,3.9101709549449866,0.04327421422710489,50.29803049248446,6.047445317746619,0.3996309754435859,37.70502572287102
nbpslice2d,A,kwave_fullrate,ray_born,success,max_iterations,12,4.244615962056354,27.521696855933637,0.8385371851425908,2.7797419296119013,31.198375353833498,0.9116487817691018,0.7983828484549369
nbpslice2d,A,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,5.592642780980521,25.12612330407069,0.6186331614088612,8.837345706432933,21.152028026128107,0.5785910115945982,10.505132634906737
nbpslice2d,B,kwave_fullrate,straight_cgls,success,objective_plateau,125,30.72989367909392,12.322585046943642,0.4192403220089803,18.575117501508046,16.695174806651327,0.7496356973552282,3.268883217440598
nbpslice2d,B,kwave_fullrate,straight_sirt,success,small_model_update,642,28.634578728960385,12.935990236838018,0.5036819177988855,17.219281515730856,17.353505673972936,0.7971862718485677,2.115392891743723
nbpslice2d,B,kwave_fullrate,straight_sart,success,small_model_update,240,28.760778806830007,12.897793359519788,0.5003405729439825,17.304646276928285,17.310551673473164,0.7954015247962669,2.2416836942828193
nbpslice2d,B,kwave_fullrate,bent_ray_gn,success,max_iterations,20,98.3351227837545,2.2196329124023144,0.026834853788920632,68.70614221819416,5.333894919811123,0.3973920003728243,44.26399653738832
nbpslice2d,B,kwave_fullrate,ray_born,success,max_iterations,12,6.856832318421779,25.351335618892833,0.8256149932682109,4.245347270700274,29.5155417711445,0.893788846243114,1.3592098864380417
nbpslice2d,B,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,8.289530973852727,23.70320702765101,0.6173990756124337,10.377285146686303,21.75213119168635,0.5223498559468523,11.37676049204229
nbpslice2d,C,kwave_fullrate,straight_cgls,success,objective_plateau,149,48.887198729565576,9.897752648757859,0.23964413239273294,31.736110229513947,13.650581782579032,0.6047753796786232,10.545946463617922
nbpslice2d,C,kwave_fullrate,straight_sirt,success,small_model_update,759,36.69278037341324,12.39004327265455,0.43299105734691995,23.21971099371741,16.36451950179142,0.7434775216572028,4.0162761933964815
nbpslice2d,C,kwave_fullrate,straight_sart,success,small_model_update,281,37.45572844028576,12.211290747524279,0.4195730621719266,23.935655564126925,16.100749166800412,0.7275459727215099,5.925448433836691
nbpslice2d,C,kwave_fullrate,bent_ray_gn,success,max_iterations,20,123.40236562495578,1.8551859966278648,0.02169179512754424,92.30936692433514,4.3767402507664475,0.39129353460200783,64.61556841115139
nbpslice2d,C,kwave_fullrate,ray_born,success,max_iterations,12,7.780861781662912,25.861101688257367,0.7923529600970969,5.127955040984014,29.482771523215447,0.8667565673375521,2.026443481380223
nbpslice2d,C,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,19.26012828682903,17.988472190315157,0.5239319916899008,17.450719257576285,18.845389065530558,0.45158594650877953,16.170587456025938
nbpslice2d,D,kwave_fullrate,straight_cgls,success,objective_plateau,118,27.093480524795442,12.679447604990408,0.32105493185612943,17.542675970982756,16.45482676477151,0.6794733759763862,3.3739393025075444
nbpslice2d,D,kwave_fullrate,straight_sirt,success,small_model_update,619,24.295444604522313,13.626246577123094,0.39430265215764276,15.619176816112342,17.463580770701526,0.7320470293959404,1.7921380091044048
nbpslice2d,D,kwave_fullrate,straight_sart,success,small_model_update,230,24.394736568608245,13.59082094440911,0.39094460393706226,15.68446655495352,17.42734854803868,0.7309398355621785,1.8208534812421968
nbpslice2d,D,kwave_fullrate,bent_ray_gn,success,max_iterations,20,93.99982133169733,1.8742030351060304,0.008627714811766258,67.8317988890661,4.7080769047458135,0.3856082629369326,40.708787187691364
nbpslice2d,D,kwave_fullrate,ray_born,success,max_iterations,12,4.376832385595221,28.513545292256232,0.8336634211783258,2.871586012218489,32.17430701409198,0.9133139339927381,0.8131190580962716
nbpslice2d,D,kwave_fullrate,fwi_reference,stored_reference,historical_schedule_completed,63,6.874933523826947,24.59137353408124,0.6611240479254891,9.657767034231167,21.63920909579939,0.5734018857665242,11.191783808375579
